License,Owner,Street,City,State,Zip,Lat,Lon
200099488,Nova Kitchen Westlake LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,Nunya Hospitality LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,ORANGE MARKET 3 LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200129075,YNOTUS LLC,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200099488,Oak Hill Social LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200144158,Beyond 5 Investment LLC,8218 BURNET Rd,AUSTIN,TX,78757,30.26613,-97.751785
200129075,YB SUSHI INC,7900 N FM 620,Austin,TX,78726,30.337186,-97.75495
200099488,OL Beverage Holdings LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200139103,EASTSIDE DEN LLC,1836 San Jacinto Blvd,Austin,TX,78701,30.165611,-97.828382
200099488,Old Saigon LLC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,Once Over Coffee Bar,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,ONE BITE DUMPLINGS INC,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
200099488,OLRC Social Club Inc.,12115 Manchaca Rd,Austin,TX,78748,30.141734,-97.832653
